baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000063450.14	2046.65903126383	3.45858482424155	0.112983083823054	30.6115279138437	8.59754070643764e-206	7.41430416671416e-203
ENSMUSG00000022871.13	1112.27836032533	6.65136633670688	0.221261771837231	30.0610732774927	1.56464524608557e-198	1.29533850632932e-195
ENSMUSG00000020788.15	2130.76867340906	8.78603760962671	0.294626099002067	29.8209752611396	2.08900036366364e-195	1.66292463564409e-192
ENSMUSG00000025432.11	1259.90301977528	6.4643558785664	0.218931184702439	29.5268848398753	1.3008947589866e-191	9.97208104694285e-189
ENSMUSG00000061126.5	1626.75194404305	8.16559180754004	0.276835251033187	29.4962140011611	3.2195229164422e-191	2.37980235005729e-188
ENSMUSG00000060716.7	860.919592438957	6.77118624163456	0.238730452680055	28.3633116999499	5.73569621665991e-177	4.09350705504173e-174
ENSMUSG00000003153.10	1026.39586023976	4.76648896689967	0.169355883027815	28.1448089176614	2.77391293091604e-174	1.91372253103898e-171
ENSMUSG00000040703.11	1375.82994255063	7.27928028660581	0.261270857704654	27.8610494509666	7.91458703301536e-171	5.28413573620384e-168
ENSMUSG00000048699.4	2471.37163112593	9.61093729985488	0.34749688934365	27.6576211027614	2.25984760767582e-168	1.46162706050208e-165
ENSMUSG00000038295.14	634.760300825163	5.23268658614792	0.190547416355829	27.4613357988354	5.0873213722359e-166	3.19067546791413e-163
ENSMUSG00000012350.15	1208.77854473858	7.69181818071065	0.282563751079664	27.2215319598517	3.61222680326074e-163	2.19888994550257e-160
ENSMUSG00000024421.16	661.665215196093	5.82574692571933	0.214743256440109	27.1288934623385	4.49340144016295e-162	2.65714084591579e-159
ENSMUSG00000048373.8	881.638687697302	7.23458438812707	0.279883975204348	25.8485123446063	2.52863070399815e-147	1.4537519355736e-144
ENSMUSG00000024331.11	737.194896615317	5.55967981482167	0.21996244499037	25.2755865441716	5.92790576521889e-141	3.31594231412798e-138
ENSMUSG00000043439.5	662.459992085104	5.1831792427221	0.205159550340201	25.264138248145	7.92022401475182e-141	4.3138125377189e-138
ENSMUSG00000031297.14	807.957499545751	3.91266997169363	0.154903439393864	25.2587675716168	9.07299595898523e-141	4.81496916315685e-138
ENSMUSG00000018166.8	701.345697543233	6.8206388480016	0.270504621619865	25.2145002446077	2.77770315366089e-140	1.43725305428299e-137
ENSMUSG00000020911.14	1714.46635575418	3.62891381155214	0.144248581430954	25.1573622114902	1.17395150695235e-139	5.92616447302265e-137
ENSMUSG00000074227.12	756.433214757162	3.90669320362217	0.156046894554877	25.0353793631459	2.51925289310293e-138	1.24145183639408e-135
ENSMUSG00000022123.9	575.638511093129	4.74964119133741	0.189918695694116	25.0088132396782	4.9025762305567e-138	2.35973535450772e-135
ENSMUSG00000018849.6	1065.02896973496	3.63681111591442	0.14566495612508	24.9669598828667	1.39748234287896e-137	6.57356637512862e-135
ENSMUSG00000115388.2	609.945107211733	6.5043697424082	0.260545140526427	24.9644638517004	1.48748555309977e-137	6.84144188722354e-135
ENSMUSG00000074272.10	530.269762861319	4.94719809351894	0.198941515474172	24.8676003182514	1.6683450371314e-136	7.50646461598013e-134
ENSMUSG00000022218.16	1177.20779783493	8.46621821757417	0.341552695543591	24.7874437181646	1.22452737023192e-135	5.39234957057234e-133
ENSMUSG00000030494.13	533.906323018402	5.79072787476943	0.236576216583751	24.4772190475851	2.58289213459486e-132	1.11371080228562e-129
ENSMUSG00000026479.13	666.158702883523	3.26678694774432	0.1350834493674	24.1834729794271	3.3205515048102e-129	1.40256029581748e-126
ENSMUSG00000019866.15	1655.15371636704	2.95569005581177	0.122397893028056	24.1482102566443	7.79699576326857e-129	3.22748842624739e-126
ENSMUSG00000035557.9	5647.17240542647	11.8828861182473	0.493664642651545	24.0707660455944	5.06064997682075e-128	2.05373083471096e-125
ENSMUSG00000026639.18	433.832122057351	4.26901942714453	0.177966753971243	23.987735528594	3.7341285912456e-127	1.48625498948097e-124
ENSMUSG00000038807.19	1122.55579188947	2.96845674623748	0.123838104194436	23.9704634171141	5.65421891129661e-127	2.20802582654917e-124
ENSMUSG00000029019.8	424.338562428312	5.45080591184305	0.228305435008928	23.8750597927285	5.56284250747632e-126	2.13211391439329e-123
